岗位,地点,薪资,工作经验,学历,公司名称,技能,工作福利,工作类型,融资情况,公司规模
增长营销数据分析师,北京·海淀区·双榆树,30-60K,经验不限,本科,北京字节跳动,"['Python', 'SQL', 'Excel', 'Tableau', '数据分析师']",股票期权，带薪年假，节日福利，零食下午茶，年终奖，五险一金，住房补贴，免费健身房，嘀嘀打车，定期体检，加班补助，补充医疗保险，餐补,移动互联网,D轮及以上,10000人以上
数据分析师,北京·海淀区·清河,25-35K,5-10年,本科,一亩田,"['数据分析', 'SQL', 'Excel']",五险一金，全勤奖，住房补贴，节日福利，定期体检，补充医疗保险，股票期权，零食下午茶，年终奖，带薪年假，交通补助,O2,C轮,500-999人
数据分析师,北京·海淀区·清河,14-15K,3-5年,本科,小米,"['SQL', '大数据', '商业智能', '物联网', '数据分析']",定期体检，年终奖，五险一金，餐补，节日福利，股票期权，补充医疗保险，12%公积金，带薪年假,互联网,已上市,10000人以上
数据分析师,北京·海淀区·五道口,15-30K,1-3年,本科,紫光教育科技,['数据分析'],节日福利，定期体检，年终奖，包吃，带薪年假，五险一金,计算机软件,未融资,100-499人
数据分析师,北京·海淀区·双榆树,25-45K,3-5年,本科,腾讯,"['数据分析', '数据仓库', '数据开发', 'SQL', 'BI']",餐补，免费早晚餐，员工旅游，住房补贴，股票期权，公仔周边活动，免费健身房，包吃，零食下午茶，交通补助，免费班车，带薪年假，五险一金，定期体检，补充医疗保险，年终奖，节日福利,互联网,不需要融资,10000人以上
数据分析师,北京·海淀区·海淀北部新区,20-40K,3-5年,本科,华为,"['数据分析', 'MySQL', '数据挖掘']",定期体检，年终奖，零食下午茶，加班补助，补充医疗保险，股票期权，员工旅游，餐补，节日福利，五险一金,计算机软件,不需要融资,10000人以上
数据分析师,北京·海淀区·白石桥,14-28K,1-3年,硕士,玖天气象,"['数据分析', '数据挖掘', '人工智能']",五险一金，定期团建，定期体检，补充医疗保险，年终奖，停车免费，带薪年假，健身房，节日福利，餐补,计算机软件,未融资,20-99人
数据分析师,北京·海淀区·上地,8-12K,1-3年,本科,中晟信达,"['数据分析', '数据挖掘', 'SQL', 'Python', 'Java', 'SPSS']",带薪年假，五险一金，节日福利，年终奖,信息安全,不需要融资,0-20人
高级数据分析师,北京·海淀区·上地,25-50K,5-10年,本科,福佑卡车,"['数据分析', 'SQL', 'Python', '商业智能', '数据挖掘']",培训学习，零食下午茶，七险一金，员工旅游，补充医疗保险，节日福利，年终奖，五险一金，带薪年假，定期体检，全勤奖,互联网,D轮及以上,500-999人
数据分析师,北京·海淀区·中关村,10-15K,1-3年,本科,北京百世百诚教育,"['Python', '多元统计分析', '相关分析', 'Pandas', 'NumPy']",定期体检，节日福利，年终奖，零食下午茶，全勤奖，五险一金，带薪年假,培训机构,不需要融资,20-99人
数据分析师,北京·海淀区·上地,8-13K,经验不限,本科,国印科技,"['Python', 'R', '数据建模', 'SAS', 'SPSS']",,计算机软件,未融资,20-99人
高级数据分析师,北京·海淀区·中关村,25-40K,经验不限,本科,微财,"['SQL', 'Tableau']",定期体检，全勤奖，补充医疗保险，节日福利，零食下午茶，加班补助，五险一金，年终奖，带薪年假，餐补,互联网,不需要融资,500-999人
来源成因数据分析师,北京·海淀区·五道口,10-15K,经验不限,硕士,美科环境,"['环境科学、环境工程', '大气科学、气象学']",特色团建，年终奖，定期体检，商业保险，五险一金，职称奖金，全勤奖，零食下午茶，节日福利，带薪年假,环保,未融资,100-499人
管理数据分析师-试用期全额,北京·海淀区·厂洼,12-20K,经验不限,硕士,麦可思数据科技,"['Excel', '描述统计', '产品', '设计优化', '社会学']",通讯补贴，定期体检，零食下午茶，节日福利，带薪年假，餐补，五险一金，年终奖，交通补助,数据服务,未融资,100-499人
数据分析师,北京·海淀区·西北旺,20-40K,3-5年,本科,度小满,['Excel'],免费班车，全勤奖，定期体检，带薪年假，零食下午茶，加班补助，股票期权，五险一金，交通补助，年终奖，节日福利，补充医疗保险，员工旅游，餐补,互联网,A轮,1000-9999人
